lampung,indo
pighokah igo no?,berapakah harganya ?
igo no sekitar limo belas ghibeu rupiah,harganya sekitar lima belas ribu rupiah
pighokah umur sekam tano?,berapakah usiamu sekarang ?
umur ikam tigo puluh tahun,usia saya tiga puluh enam tahun
pighokah tijjang no?,berapakah panjangnya ?
tijjang no 150 mitir,panjangnya seratus lima puluh meter
pigho kah biyak no?,berapakah beratnya ?
biyak no seghatus kilo?,beratnya seratus kilo
pighokah suhu udara no?,berapakah suhu udaranya ?
sekita waleu belas derajat,sekitar delapan belas derajat
nyokah panas temen diluah?,apakah sangat panas di luar ?
ya sekita wou puluh derajat,ya sekitar dua puluh derajat
tanggal pigho kah tano?,tanggal berapakah sekarang ?
tano tanggal tigo puluh sateu,sekarang tanggal tiga puluh satu
nyokah ijo sai pertamo?,apakah ini yang pertama ?
ayen ijo sai keduo,bukan ini yang kedua
"permisei, ruang pertumbukan wat dilattai pigho ya?","permisi , ruang pertemuan ada di lantai berapa ya ?"
ruang pertumbukan wat di lantai limo,ruang pertemuan ada di lantai lima
dikeddo ghang parkir no?,dimana tempat parkirnya ?
beng parkir wat dijuyeu,tempat parkir ada di belakang
beng parkir wat digedung ijo,"""tempat parkirnya ada di gedung ini """
nyokah sekam wat duit?,apakah anda punya uang ?
ya ikam wat duit,ya saya punya uang
enggat ikam makko duit,tidak saya tidak punya uang
enggat ikam makko duit,tidak saya tidak punya uang
enggat ikam lagei mak makko duit,tidak saya sedang tidak punya uang
ikam lagei perleu duit,saya sedang butuh uang
pigho nayah duit sai sekam wat?,berapa banyak uang yang anda punya ?
ikam wat sejuta,saya punya satu juta
ikam makko nayah duit,saya tidak punya banyak uang
ikam nayah temen duit,saya punya banyak uang
dapek degh ikam nukegh duit ijo,bisakah saya menukar uang ini ?
lamun dapegh ikam ago nukegh duit ijo?,kalo boleh saya mau menukar uang ini ?
"mhaf, wat duit lunik?","maaf , punya uang kecil ?"
iya wat,ya ada
mahaf mak makko,maaf tidak ada
mahaf ikam makko duit lunik ,maaf saya tidak punya uang kecil
mahaf makko sai ricih,maaf tidak ada receh
nyokah wat duit sai lebih lunik?,apakah ada uang yang lebih kecil ?
mahaf ikam mak makko duit lebih,maaf saya tidak punya uang lebih
nyokah wat duit pas,apakah ada uang pas ?
mahaf makko susuk no,maaf tidak ada kembalian
ijo susuk no,ini kembaliannya
duit no pagun kurang,uangnya masih kurang
duit no pagun kurang,uangnya masih kurang
duit no lebih,uangnya kelebihan
gegeh no susuk no kurang,sepertinya kembaliannya kurang
mahaf sekam salah ngejuk susuk no,maaf anda salah memberikan kembalian
ikam wat hutang pigho,saya punya hutang berapa ?
utang meu limo puluh ghibeu lagei,hutangmu lima puluh ribu lagi
utang mew ighah no limo ghibeu lagei,hutangmu sisanya lima ribu lagi
jadei pigho unyenno?,jadi berapa semuanya ?
pigho igho no?,berapa harganya ?
nyokah igo no kak kughuk pajek?,apakah harganya sudah termasuk pajak ?
igo no kak kughuk pajek,harganya sudah termasuk pajak
nyokah barang ijo wat putungan?,apakah barang ini di diskon ?
nyokah barabg ijo kak wat putungan?,apakah barang ini sudah di diskon ?
nyokah sekam nerimokarteu kridit?,apakah anda menerima cek kartu kredit ?
ikam kilui nuta no,saya minta bonnya
ikam kiluikuitansi no,saya minta kwitansinya
ikam kilui duit no di ulang ke kupek,saya minta uangnya dikembalikan
ikam ago ngebuka rekening takembangn,saya ingin membuka rekening tabungan
ikam ago nabung,saya mau menabung
ikam ago ngakuk duit,saya mau menarik uang
ikam ago ngejamuk duit,saya mau menyimpan uang
ikam ago ngebuka deposito,saya mau membuka deposito
ikam ago nutup rekening ikam,saya mau menutup rekening saya
ikam ago ngcik transferan,saya mau ngecek uang transferan
ikam ago nyair ko cik ijo,saya mau mencairkan cek ini
ijo namo ikam dan numur rekening ikam,ini nama saya dan nomor rekening saya
tulung di tikkin dijjo,tolong di tandatangan di sini
saldo sekam tano kak nambah ,saldo anda sekarang sudah bertambah
saldo sekam kak gelik,saldo anda sudah habis
ikam ago ngirim numur rekening ijo,saya mau mengirim uang ke nomor rekening ini
jam pigho tano?,jam berapa sekarang ?
tano jam sepuluh liwat tigo puluh,sekarang pukul sepuluh lebih tiga puluh
tano jam puluh liwat limo menit,sekarang pukul sepuluh lebih lima menit
tano jam piteu kurang puluh menit,sekarang pukul tujuh kurang sepuluh menit
jam pigho ikam harus daknei?,jam berapa saya harus ke sana ?
jam limo debei,jam lima sore
jam pigho bus no tigeh?,jam berapa busnya tiba ?
jam piteu debingei,jam tujuh malam
jam pigho toko no tutup?,jam berapa tokonya tutup ?
jam pigho toko no bukak?,jam berapa tokonya buka ?
gham megegh paling debei,kita datang paling awal
gham megegh telat,kita datang terlambat
gham megegh terlaleu awal,kita datang terlalu cepat
pigho munei ikam harus nunggeu?,berapa lama saya harus menunggu ?
pigho munei ikam harus nunggeu?,berapa lama saya harus menunggu ?
seberai,sebentar
pigho menit pigho jam,beberapa menit beberapa jam
makko tanan munei,tidak akan lama
limo menit gaweh,hanya lima menit
harei nyo dawah ijo?,hari apa sekarang ?
harei sabteu,hari sabtu
kapan sekam megegh?,kapan anda datang ?
minggeu depan,minggu depan
kapan sekam lapah?,kapan anda pergi ?
minggeu burbei,minggu kemarin
kapan sekam megegh dilappung?,kapan anda tiba di lampung ?
ikam megegh bulan april tanggal limo,saya tiba pada bulan april tanggal lima
pigho munei sekam meneng dijjo?,berapa lama anda tinggal di sini ?
ikam meneng selamo limo panas anjak senin tigeh jumat,saya tinggal selama lima hari dari senin sampai jum’at
ikam meneng cuman seberai gaweh,saya tinggal hanya sebentar saja
makko tanan munei,tidak akan lama
mak munei cumo limo panas,tidak lama hanya dua hari
sepanas gaweh,sehari saja
kapan sekam tigeh dijjo?,kapan anda akan sampai ?
jimeh tukuk,besok pagi
naen bingei,"""nanti malam"""
subuh naen,nanti subuh
dawah naen,"""nanti siang"""
seberai lagei,sebentar lagi
limo menit lagei,lima menit lagi
setengah jam lagei,setengah jam lagi
gegeh no pagun tangih,sepertinya masih lama
ijo kak paghek,ini sudah dekat
dapekkah sekam nyuluk ko dikeddo barang ino?,bisakah kamu tunjukkan dimana benda itu ?
dikeddo beng ijo ngemik no?,dimana tempat ini berada ?
dikeddo kamar mandein no?,dimanakah kamar kecilnya ?
dikeddo ghang kinyau pungeu no?,dimana tempat cuci tangannya ?
dikeddo beng peddem no?,di mana tidurnya ?
dikeddo kah sekam meneng tano?,dimanakah kamu tinggal sekarang ?
ikam meneng di lappung,saya tinggal di lampung
anajk keddo kah anek sekam?,darimanakah anda berasal ?
asal ikam anjak wai kanan,saya berasal dari way kanan
dikeddo kah sekam lahir?,dimanakah anda lahir ?
ikam lahir di lappung,saya lahir di lampung
"permisei, dikeddo pai ikam dapek belei gulo suluh?","permisi , dimanakah saya dapat membeli gula merah ?"
dikeddo kah ikam dapek belei kanen jamo nginuman?,dimanakah saya dapat membeli makanan minuman ?
dikeddo alamat no?,dimanakah alamatnya ?
dikeddo ghang ino ngemik no?,dimana tempat itu berada ?
beng ino wat diujung ghang layo ijo,tempat itu berada di ujung jalan ini
beng ino wat diseberang ghanglayo ijo,tempat itu berada di seberang jalan ini
beng ino wat disekitar ghang layo ijo,tempat itu berada di sekitar jalan ini
beng ino wat di antaro gut melati jamo flamboyan,tempat itu berada di antara jalan melati dan flamboyan
dikeddo ghang sekam ngejamuk ko sesui?,dimanakah kamu menyimpan sendok ?
disimbin ikam dilacei ino,saya simpan di dalam laci itu
disimbin ikam didaour,saya simpan di dapur
isimbin ikam dijjo,saya simpan di sini
ikam mak ingek dikkdo ghang ikam ngejamuk no,saya tidak ingat dimana saya menyimpannya
dikeddo ikam mestei tikkin?,dimana saya harus tanda tangan ?
sekam harus nikin dijjo,anda harus menandatangani di sini
dikeddo ghang ikam mejeng?,dimana saya harus duduk ?
sekam dapek mejjeng dikedo gaweh,anda boleh duduk dimana saja
sekam dapekmejjeng di depan,anda bisa duduk di depan
dikeddo sekam tumbuk sepateu ino?,dimana anda menemukan sapu itu ?
ikam tumbuk di juyeu ghangek,saya menemukannya di balik pintu
dikeddo ikam harus ngejamuk kutak ijo?,dimana saya harus menyimpan kotak ini ?
simbin jugo dikasur,simpan saja di atas kasur
jamuk jugo dikulung kasur,simpan saja di kolong kasur
dikeddo nuwo sekam?,dimana rumahmu ?
dipagheg kattur pulisei,di dekat kantor polisi
dikeddo ano arah nujeu beng wisata wai kambas ino?,kemanakah arah menuju tempat wisata way kambas ?
anjak jo sekam lajeu dak sang utara,dari sini anda harus ke sebelah utara
anjak jo sekam lajeu dak sang selatan,dari sini anda harus ke sebelah selatan
anjak jo sekam lajeu dak sang timur,dari sini anda harus ke sebelah timur
anjak jo sekam lajeu dak sang barat,dari sini anda harus ke sebelah barat
dikeddo ikam dapek ngenah no?,dimana saya dapat melihatnya ?
sekam dapek ngenah no anjak internet,anda dapat melihatnya melalui internet
sekam dapek ngenah no di internet,anda dapat melihatnya di internet
dikeddo sekam ngejamuk duit ,dimana kamu menyimpan uangnya ?
di paghek lemarei,"""di dekat lemari """
diunggqak mija,"""di atas meja """
di ruang temui,di ruang tamu
di kattur,di kantor
dilem tas,di dalam tas
dilem kattung celano,"""di dalam saku celana """
dilem lemarei,di dalam lemari
diluah nuwo,di luar rumah
di sekitar nuwo,di sekitar rumah
ani tulung akuk ke wai nginum ino,ani tolong ambilkan air itu
mak ikam lagei muppeh di wai balak,ibuku sedang mencuci kain di sungai
ketua kelas sai ngatur barisan dikelas no,ketua kelas yang mengatur barisan di kelasnya
tetuho adat singatur acara pesta adat naken no,ketua adat yang mengatur acara pesta adat ponakan itu
eri nginjam bukeu ipa diperpustakan sekulah,eri meminjam buku ipa di perpustakaan sekolah
apo si wat tip-x ikam nginjam,siapa yang punya tip-x saya pinjam dulu ya
ikam ago nigheu dughian di umbul kemaman,kami ingin mencari durian di kebun paman
ikam dak sawah nigheu bekuh,kami pergi ke sawah mencari keong
"nyokah sekam, wat kanan ikam ago kilui pai","apakah kalian punya makanan , saya ingin minta dulu"
rara nyokah sekam wat bukeu gambar,rara apakah engkau punya buku gambar
nyo masalah no sekam ngusir ani,apa masalahnya mengapa kalian mengusir ani
ayah ngusir putik disawah,ayah mengusir burung di sawah
abang dicuak yo mak ngebales,abang dipanggil ia tidak menyahut
lahbak sekam dicuak mak nengei,mengapa engkau dipanggil tidak menyahut
ikam lagei nyambut temui,kami sekarang masih menyambut tamu
panitia resepsi pernikahan nunggeu pihak sabai,panitia resepsi pernikahan menyambut pihak besan
armin lagei ngabai mutur bareu no,armin lagi mencoba motor barunya
malem ngabai sepateu bareu no,malem mencoba sepatu barunya
murid tano nayah sai ngelawan jamo gureu no,murid sekarang banyak yang melawan dengan gurunya
anak no ngelawan jamo mak no,anaknya melawan dengan ibunya
ikam mak neduh lamun sekam gegeh ino,saya tidak menyangka kalo engkau seperti itu
ikam tano lagei wat acara adat dinuwo tetuho adat,kami sekarang sedang acara pesta adat di rumah ketua adat
sanak simak mappeu nerimo bansekam pendidikan,anak yang tidak mampu menerima bantuan pendidikan
kurban bencana sai nerimo bansekam gelik miwang,korban bencana yang menerima bantuan berlinang air mata
ari lapah dak sawah nakkep putik pipit,ari pergi ke sawah menangkap burung pipit
amir nakkep manuk sai ago ditikel,amir menangkap ayam yang ingin dipotong
ikam sangu mianak malem minggeu ago minek dibeng sitei,kami sekeluarga malam minggu menginap di rumah nenek
jumat bingei si likut ikam minek di kemah,malam jumat yang lalu kami menginap di kemah
apo simagas kucing ikam,siapa yang menusuk kucingku
apo simagas arif,siapa yang menusuk arif
lapah gham nakkep punyeu makai jaring di wai balak,mari kita menangkap ikan dengan jari di sungai
lapah gham nakkep ughang makai jaring di wai balak,mari kita menangkap udang dengan jari di sungai
amini kemeghik ngenah wat siago ngemaling,amini menjerit melihat ada maling
arif kemeghik wakteu disunat,arif menjerit waktu disunat
ikam lagei berjago di pos 1,kami sedang menjaga di pos 1
ketua pembina ngejago posko,kakak pembina pramuka menjaga posko
sanak sai lago ino ngelawan wakteu ago dipisah serundo no,anak yang berantem itu melawan waktu dipisah temannya
anak no ngelawan ulun tuho no,anaknya melawan orang tuanya
kayeu ino ngehalangei ghang layo,kayu itu menghadang di jalan raya
priman ino ngalang waktu gham liwat,preman itu menghadang waktu kami lewat
"pak toto ngejelaske mateimatika, avi ngeguwai limbegh di lem kelas","pak toto menerangkan matematika , aviv membuat kekacauan di kelas"
"pak eri ngajar penjas,amit ngeguwai limbegh di lapangan","pak eri mengajar penjas , amid membuat kekacauan di lapangan"
karman ngemaling bukeu ips hamdad,karman mencuri buku ips hamdad
karim ngemaling sapei di anek no sayan,karim mencuri sapi di desanya sendiri
sukeu lappung ngemik nuwo adat guwai acaro adat,suku lampung mempunyai rumah adat untuk acara adat
anek kedatun ngemik nuwo adat wawai temmen,desa kedaton mempunyai rumah adat bagus sekali
unggal anek harus ngemik langgar,setiap desa harus mempunyai langgar
nyo kah di anek mettei ngemik langgar,apakah di desa kalian mempunyai langgar
masjid anek kedatun ngemik beduk wawai sekalei,masjid desa kedaton mempunyai beduk bagus sekali
langgar bareu ino ngemik beduk,mushola baru itu mempunyai beduk
lamun gham makko kamauan makko guno no,kalau kita tidak ada kemauan tak ada gunanya
nyo guno gham ughik makko kehendak,apa guna kita hidup tak ada kehendak
ayah sedang ngelakar jamo kemaman,ayah sedang ngobrol dengan paman
bu ani lagei ngelakar jamo ira,bu ani sedang ngobrol dengan bu ira
gham ughik harus wat iman,kita hidup harus beriman
lamun gham makkko iman cadang pikiran,kalau kita tidak beriman rusak pikiran
ari nyerundo jamo arif,ari berteman dengan arif
aryan nyerundo kjamo ari,aryan berteman dengan eri
aripin beguran jamo arvina,aripin becanda dengan arvina
ariyanto begurau jamo ervan,ariyanto bercanda dengan ervan
seghadeu bdandan io ngaco,setelah selesai berdandan ia bercermin
febi anjak miwang mato no berkaco kaco,febi dari menangis matanya berkaca-kaca
ikam tuyun ulah bel kak mayyau,kami berlari karena bel sudah berbunyi
istirahat tando bel kak mayyau,istirahat tandanya bel berbunyi
nadira dicuak mak lampir ulah io marah jugo,nadila dijuluki mak lampir karena ia marah terus
tegar dicuak pak ogah ulah io iling kilui duit jamo kaban serundo,tegar dijuluki pak ogah karena ia sering meminta duit dengan temannya
paghei disawah tabu unyen ulah lak seppet diarit,padi di sawah acak-acakan karena belum sempat diarit
pakcik ghadeu nyanei nuwo no tano lagei lak sapen unyen,pak cik abis memperbaiki rumahnya sekarang sedang acak-acakan semuanya
appeu ikam nyerito ikam nengei no mahho bangik temen,nenek bercerita saya mendengarnya tertawa terpingkal-pingkal
ikam nengei ko kisah luceu mahho bangik temen,kami mendengarkan kisah lucu tertawa terpingkal-pingkal
caluk ikam diiyek yo,kakiku terinjak dengan dia
ulah mak ngenah dak deh ikam kenno iyek,karena tidak melihat ke bawah saya terinjak
armin dak nuwo ikam yo tebumbang,armin ke rumahku kesasar
sanak pramuka nigheu jejak tiyan kesesat,anak pramuka mencari jejak tersesat di hutan
kiay cakak mutur mak makai hilm ditahan polantas,kiyai mengendarai motor tidak memakai helm ditahan polantas
anak yang belum lunas lks ditahan numur mid semester,anak yang belum lunas lks ditahan nomor mid semester
bukeu ikam dibbo jamo bukeu bu arni,bukuku terbawa dengan buku bu arni
kawai andak ikam dibbo kaos ulahraga no arnani,baju putihku terbawa kaos olahraganya arnani
makmun lapah dak sekulah liwat didepan nuwo ikam,makmun pergi ke sekolah lewat di depan rumahku
gham lapah dak karang liwat bambu kuning,kami pergi ke karang lewat bambu kuning
kminan napei biyas iyas no tabui unyen,bibi menapi beras dedeknya terhempas semua
paghei sai dipegh sai makko isei no tabui unyen,padi yang dijemur yang tidak ada isinya terhempas semua
sapeu ino ktijangan ditetek gaweh,sapu itu kepanjangan dipotong saja
lamun kak dicabuk buleu manuk lajeu ditetek tetek gaweh ,kalau sudah dicabuti bulu ayam langsung dipotong-potong saja
ika tano diasuh ulah kminan lamun mak no sekulah,ika sekarang diasuh dengan bibi kalau ibunya sekolah
apo si ngasuh mira tano?,siapa yang mengasuh mira sekarang ?
jino sekam di lulih jamo bu gureu,tadi anda ditanya sama bu guru
ikam dilulih kepalo sekulah ulah burbei izin,saya ditanya kepala sekolah karena kemarin izin
nyokah pr bahso lappung kak ghadeu dikerjo ko,apakah pr bahasa lampung sudah dikerjakan
eri wat pr bahaso lappung lak dikerjo ke,eri ada pr bahasa lampung tidak dikerjakan
ikam lak megegh ditunggeu di gang nuwo no,kami belum datang ditunggu di gang rumahnya
apo sai lak megegh ago ditunggeu gerangan,siapa yang belum datang mau ditunggu gerangan
"jaja caluk no patteh kecelakaan, ruli ngejuk semangat tagen yo sabar","jaja kakinya patah kecelakaan , ruli memberi semangat supaya dia tabah"
"ruri kenno musibah, gham harus ngejuk semangat jamo yo","ruri terkena musibah , kita harus memberi semangat kepada dia"
dimas ngingek ko surat anajak waghei no,dimas mengingatkan surat dari saudaranya
pak camat ngingek ko nasihat masalah narkoba jamo kaban snak,pak camat mengingatkan nasehat masalah narkoba dengan para remaja
keluarga anajak pihak temui mengantarkan pengantin dak nuwo besan,keluarga dari pihak tamu mengantarkan pengantin ke rumah besan
zuriah lapah dak pondok diattak mak no,zuriah pergi ke pondok diantarkan bapak ibunya
murid bareu ino ngenalke direi,murid baru itu memperkenalkan diri
kepala sekulah sai bareu ngenalko direi,kepala sekolah yang baru memperkenalkan diri
dukter lagei ngattak pasien no,dokter sedang mengobati pasiennya
bu bidan lagei ngubatei caluk eri kenno kacco,bu bidan sedang mengobati kaki eri terkena kaca
mak lagei ngejuk uyah gulai satten,ibu sedang memberi garam sayur santan
ibu lagei ngejuk uyah punyeu sai di guring,ibu sedang memberi garam ikan yang digoreng
apo sai ngughuk ko kanen ditiras,siapa yang memasukkan makanan di teras ?
lamun kak ghadeu nyanei alat alat no sai ngughuk ko apo?,kalau sudah selesai memperbaiki alat-alatnya yang memasukkan siapa ?
apo sai nyurit nyurit bukeu kakak?,siapa yang mencoret-coret buku kakak
adik dang nyurit nyurit keket dinnei naen kamah,adek jangan mencoret-coret dinding disana nanti kotor
mak lagei ngebalah ke gham jimmeh piknik dak lawet,ibu sedang membicarakan kita besok piknik ke laut
ikam megegh dak nyuak bibi acara no ketua adat,saya datang kemari mengundang bibi hajatnya ketua adat
murid tk mnyaksikan atraksi gajah di lapangan,murid tk meikamsikan atraksi gajah di lapangan
kelas 7a ninuk atraksei drama di aula,kelas 7a meikamsikan drama di aula
kemamamn ngeguai ko naken gurauan,paman membuatkan keponakan mainan
kminan ngeguai ke ikam taplak mija,bibi membuatkan saya taplak meja
dede nyadang ko mubil bareu no,dede merusak mobilan barunya
darli nyadang ko kuccei lemarei,darli merusak kunci lemari
abang dicuak mak sai nimbal adik no,abang dipanggil ibu yang menyahut adek
nikew sai dicuak bak mak nimbal lahbak,engkau yang dipanggil tidak menyahut mengapa
mimin lagei nyubo sepidah bareu no,mimin sedang mencoba sepeda barunya
marni nyubo kawai bareu no,marni mencoba baju barunya
ari lagei nyabuk buwek andak adik no,ari sedang menyabut uban kakeknya
ima lagei nyabuk jukuk dihalaman,ima sedang mencabut rumput di halaman
gham lapah dak umbul ngeliwatei jambat gattung,kita pergi ke ladang melewati jembatan gantung
lamun ago dak unggak ngeliwatei pasar,kalau kingin mau ke atas melewati pasar
gilang jamo kiayyi no ditumbbuk ko,gilang dengan kiyainya dipertemukan
sana jamo sarmin anjak kalian di tumbukko,sana dengan sarmin dari kalian pertemukan
yo kilui jamo ikam ikam ago nyuluk ko ghang layo beng nuwo no kepalo anek,dia minta pada saya untuk menunjukan jalan menuju rumahnya pak lurah
sidei lagei negei ko kubeu di pahek wai balak,kakek sedang mendirikan gubuk di dekat sungai
pak gureu lagei ngejelasko pelajaran dikelas,pak guru sedang menerangkan pelajaran di kelas
pembureu ino nimbakei unyen putik sai wat di las,pemburu itu menembaki semua burung yang ada di hutan
ikam masso cubooan tubei tubei sangun kak nasib,saya mendapat cobaan bertubi-tubi sudah nasibku
iyo nuttuk ko aliran wai balak,dia mengikuti aliran sungai
batang kayeu pelek nindih manuk,pohon kayu tumbang menpah ayam
ratting gheghak nindih uleu keu,ranting jatuh menimpa kepalaku
unyen warga disekulah harus nutuk aturan sai wat disekulah,seluruh warga di sekolah harus mengikuti aturan yang ada di sekolah
pak lurah mutusko megegh dirapet anek,pak lurah memutuskan hadir di dalam rapat desa
ikam belajar tano perleu hp pakai nigheu tugss,kami belajar sekarang memerlukan hp untuk mencari tugas
gham ago melukis ngeguno ke cat wai,kita ingin melukis memerlukan cat air
dikeddo ghang gham parkir mutur,dimana tempat kita parkir motor
dinnei wat beng parkir no,disana ada tempat parkirnya
kaban sanak merhatei ko arahan anjak kepalo sekolah ,anak-anak memperhatikan pengarahan dari kepala sekolah
pak amir lagei ngejelas ko pelajaran wat sai mak merhatei ko,pak amir sedang menerangkan pelajaran ada yang tidak memperhatikan
tiyan begurau,mereka bercanda
adi matei ko kicak sai gegak jinno,adi mematikan cicak yang jatuh tadi
irna matei ko nyinyik dilem kamar no,irna mematikan nyamuk didalam kamarnya
karna no janjei mak ditepatei sakik temen atei ikam,karnanya janji diingkari sakit sekali hatiku ini
sakik atei ikam ngingkarei janjei jamo sekam,sakit hatiku memungkiri janji dari kamu
kakak dang miwang nasib ino kak diatur,kakak jangan menangisi nasib itu sudah takdir kita
unggal bingei ikam miwang meratap nasib ughik ijo,setiap malam aku menangisi meratap nasib kehidupan ini
gham harus nutukei aturan dighang layo,kita harus mematuhi peraturan di jalan raya
ulai ino nyicak caluk kakak hamdan,ular itu mematuki kaki kakak hamdan
mak mayung ko adik makai bulung puttei,ibu memayungi adik pakai daun pisang
ulun tuho no ngegattung ko harapan balak jamo yo,orang tuanya menggantungkan harapan besar sama dia
gham wajib ngejalanko ibadah agamo,kita wajib menjalankan perintah agama
kakak ngejamuk bukeu bahaso lappung ikam,kakak menyembunyikan buku bahasa lampungku
dang gham nunai ko unyen masalah,jangan kita menggampangkan setiap masalah
gekagh sekam sai ngebuletko kumbang ijo,kamu apa yang membulatkan bunga ini
tulung ikam ngebuletko juadah ijo,bantu saya membulatkan kue ini
"dang hiran sekam jamo ikam, ikam jimmo no sangun gegeh ijo","jangan heran kamu dengan saya , saya orangnya memang seperti ini"
arman sai ngejuk racun tikus disawah,arman yang memberikan racun tikus di sawah
bapak no sai ngejuk racun jamuk anak kandung no,bapaknya yang memberi racun kepada anak kandungnya
anak kelas 7a praktik kenalan gureu nilai,anak kelas 7a praktek berkenalan bu guru menilai
tim jurei lomba tumpeng ngenilai,tim juri lomba tumpeng menilai
negara ngelidungei hak hak unggal wargo ,negara melindungi hak-hak setiap warganya
apo sai banei ngeghadew ko masalah ijo,siapa yang berani menyelesaikan masalah ini
gham ago ngehadep ko ujian sekulah belajar dinuwo,kita mau menghadapi ujian sekolah belajar di rumah
ikam tebayang nengei kiah ijo,saya terbayang mendengar kisah ini
lageu sai ikam tiyeng ngeguai anagn tebayang,lagu yang kudengar membuat angan terbayang
alunan bagho wai balak ngeguai gham terlena,alunan gemercik air sungai membuat kita terlena
nyaman temen ngedengei bagho gemercik wai balak,nyaman sekali mendengar gemercik sungai itu
"wau, nahan marah ikam ngenah maling ino","wau , menahan amarah saya melihat maling itu"
ngenah sanak sai lago ghaso no ateikeu berdenyut ,melihat anak yang berantem rasanya hatiku berdentuman
sidei mak jadei lapah ulah gayem tando ago ujan,kakek tidak jadi pergi karena mendung tandanya mau hujan
panas dawah ijo gayem tando ago ujan ,dunia hari ini mendung tandanya mau hujan
"ani digaccei ulah kminan, pudak no bawek","ani dimarahi dengan bibi , ia cemberut muka tidak ceria"
"ardi anjak bulus yo kethuman kenno gaccei, pudak no bawek","ardi dari bolos ketahuan kena marah , ia cemberut mukanya tidak ceria"
"bu harmit dak nuwo mira, ghangek no sengajo ditutup","bu harmit ke rumah mira , pintunya sengaja ditutup"
pulisei nigheu ahmad tigeh dinnei ghangek no sengajo ditutup,polisi mencari ahmad sampai disana pintunya sengaja ditutup
taneman jagung diumbul sengajo dikuto ulah sidei,kebun jagung di ladang sengaja dipagar oleh kakek
ulah bak nuwo ino sengajo dikebek?,mengapa rumah itu sengaja dipagar ?
burbei pingsan wakteu istirahat kaban sanak kucar kacir unnyen,karmin pingsan waktu istirahat anak-anak kocar-kacir semuanya
naken belajar mengan kucar kacir unnyen mei no,ponakan belajar makan kocar-kacir semua nasinya
dang diumbun kayeu ino ganjel ghangek,jangan dibuang kayu itu penghalang pintu
wai andep segelas ijo dpek nahhan betteh,air putih satu gelas ini pengganjal kelaparan
ikam lagei mengan putei pajjak,kami sedang makan pisang rebus
kuat temen kdengian anjak jo lageu ino,kuat sekali kedengaran dari sini lagu itu
adiik miwang kedengian anjak nuwo kebelah,adik menangis kedengaran dari rumah sebelah
pigho kurban kerugian gempa,berapa kerugian korban gempa ?
kepupulan burbei kerugian no 1 miliyar,kebakaran kemarian kerugian ada 1 milyar
apo sai kenaghatan dasei bileng gureu piket,siapa yang kehilangan dasi hubungi guru piket
apo sai kenaghatan duit 2000 bileng gureu piket,siapa yang kehilangan duit 20000 hubungi guru piket
ikam kebetengan mengan bakso mang ujan,kami kekenyangan makan bakso mang ujang
wakteu kemping regeu ikam kebetehan ikam mak ngebbo sangeu,waktu kemping regu kami kelaparan tidak bawa bekal
ikam digunung kebetehan sangeu no gelik,kami di gunung kelaparan bekalnya habis
sanak sai lqgo kak ditanganei bk,anak yang berantem sudah ditangani bk
nyokah sanak sai bolos kak ditanganei sai bulus?,apakah sudah ditangani anak yang bolos ?
suryadi ketahuman anjak bulus lajeu digaccei bapak no,suryadi ketauan dari bolos terus dimarahi ayahnya
samsul ngejamuk bukeu sahrul adeu ino yo digaccei sahrul,samsul menyembunyikan buku sahrul terus dia dimarahi sahrul
sahrul balik anjak sekulah lajeu dak warnet iyo digaccei mak no,sahrul pulang dari sekolah langsung ke warnet terus dia dimarahi ibunya
ikam bulus bareng wakteu balik ikam kenno gaccei,kami bolos bersama terus pulang kena marah ayah
lageu seminung diiling ko unyen siswa,lagu seminung disenangi seluruh siswa
minggeu harei sai paling diiling ko ikam ,minggu hari yang paling disenangi kami
nyo sai ikam alamei wakteu dinnei?,apa yang kalian alami waktu disana ?
pigho kerugian sai dialamei kurban gempa?,berapa kerugian yang dialami korban gempa ?
"adek, lamun nyuak abang dang nyuak gelagh ya dik","adek , kalau memanggil abang jangan menyebut namanya ya dek"
bukeu harus dijjuk namo tagen mak ketukegh jamo serundo,buku harus diberi nama supaya tidak tertukar dengan teman
beng gham kimah kak di dawakei,perkemahan kita tempatnya sudah dibersihkan
ikam nanem jagung dibeng sai kak ghadeu didawak ko,kami menanam jagung di tempat yang sudah dibersihkan
barang sai kak ghadeu gham pakai jamuk digudang,barang yang sudah kita pakai disimpan di gudang
siger sai ago dipakai kak dijamuk kminan dilem lemarei,siger yang akan dipakai sudah disimpan bibi di lemari
rapih ke kamar ino ulah ago dipakai temui anjak palimbang,rapikan kamar itu karena akan ditiduri tamu dari palembang !
sekam ijo ago diinjam ko duit jugo?,kamu ini mau dipinjami uang terus !
adik lamun kak ghadeu makai pulpin kughuk ko kupek ilem tas,adek kalau sudah selesai menggunakan pena kembalikan lagi ke dalam tas
abang gergajei no ulang ko kupek dak beng no,abang gergajinya kembalikan lagi di tempatnya
amrin lago ditigehke ari di mak no,amrin berantem disampaikan ari dengan ibunya
awas dang betulang jamo bapak ikm lamun gham bolos,awas ya jangan bicara dengan ayahku kalau kita bolos
bapak lapah dak kattur tas no disiap ko mak,ayah pergi ke kantor tasnya disiapkan oleh ibu
lamun mettei ago mengan kak dikarei ko diunggak mija,kalau kalian mau makan sudah disiapkan di atas meja
